,SMILES,CID,Solubility1,Solubility2,Molecular_Weight,sol_new1,Unit,pubchem_sol_gl,smiles_canon,Lit_Sol_LogS,Lit_gram_liter,Error_gl
189,C[N+](C)(C)CC(CC(=O)O)O.[Cl-],5970.0,>29.6 [ug/mL] (The mean of the results at pH 7.4),"('29.6', 'ug/mL', '')",197.662,29.6,ug/mL,0.0296,C[N+](C)(C)CC(O)CC(=O)O.[Cl-],0.704083406,1000.0151772950644,999.9855772950644
190,C=CCN=C=S,5971.0,"less than 0.1 mg/mL at 66 °F (NTP, 1992)","('0.1', 'mg/mL', '')",99.158,0.1,mg/mL,0.1,C=CCN=C=S,-1.6951313615,2.000766453472988,1.900766453472988
191,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,5988.0,"greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)","('100', 'mg/mL', '')",342.297,100.0,mg/mL,100.0,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,0.7891624831999999,2106.5199478137015,2006.5199478137015
192,CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,6000.0,"Solublity (25 °C): approx 50 mg/l water; but supersaturated solustions are formed readily. Solubility also reported as approximately 1 g/40 ml water; approximately 1 g/75 ml ethanol. Also soluble in methanol. Insoluble in pyridine, chloroform, benzene, acetone, ether. /Chloride, d-Form/","('25', 'ml', '')",609.7430000000003,25.0,ml,25.0,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,-8.327264912,2.8700000956413218e-06,-24.999997129999905
193,CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,6005.0,"MINUTE, WHITE OR GRAYISH WHITE, GLISTENING CRYSTALS OR WHITE POWDER; ODORLESS; SOLN ARE NEUTRAL TO LITMUS; LEVOROTATORY IN DIL ACID; 1 G SOL IN 50 ML WATER, IN ABOUT 50 ML ALCOHOL, & IN ABOUT 20 ML WATER @ 80 °C; PPT BY TANNIC ACID & OTHER ALKALOIDAL PRECIPITANTS & DECOMP BY OXIDIZING AGENTS. /HCL/","('50', ' M', '')",267.328,50.0, M,13366.4,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,-1.20693961,16.599875822208404,-13349.800124177791
194,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl,6014.0,"greater than or equal to 100 mg/mL at 72 °F (NTP, 1992)","('100', 'mg/mL', '')",320.88899999999995,100.0,mg/mL,100.0,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cl,-5.186195009,0.002090065135569692,-99.99790993486442
195,CC1=NC=C(C(=C1O)CO)CO.Cl,6019.0,"5 to 10 mg/mL at 68 °F (NTP, 1992)","('10', 'mg/mL', '')",205.641,10.0,mg/mL,10.0,Cc1ncc(CO)c(CO)c1O.Cl,0.029319309,220.00320928012894,210.00320928012894
196,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,6029.0,34.9 [ug/mL] (The mean of the results at pH 7.4),"('34.9', 'ug/mL', '')",244.203,34.9,ug/mL,0.0349,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-0.60085767,61.21999994753612,61.185099947536116
197,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)Br)CO)O,6035.0,"10 to 50 mg/mL at 72 °F (NTP, 1992)","('10', 'mg/mL', '')",307.1,10.0,mg/mL,10.0,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,-2.50203304,0.9665999680397146,-9.033400031960285
198,C1=CC=C2C(=C1)NC(=O)O2,6043.0,>20.3 [ug/mL] (The mean of the results at pH 7.4),"('20.3', 'ug/mL', '')",135.122,20.3,ug/mL,0.0203,O=c1[nH]c2ccccc2o1,-1.178321093,8.962000664815388,8.941700664815388
199,C1COCCN1N=O,6046.0,"greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)","('100', 'mg/mL', '')",116.12,100.0,mg/mL,100.0,O=NN1CCOCC1,0.9350464865,999.8929669740934,899.8929669740934
200,CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.OS(=O)(=O)O,6055.0,"50 to 100 mg/mL at 61 °F (NTP, 1992)","('50', 'mg/mL', '')",368.499,50.0,mg/mL,50.0,CC(N)Cc1ccccc1.CC(N)Cc1ccccc1.O=S(=O)(O)O,-7.699550249,7.360139819535119e-06,-49.99999263986018
201,CC(=O)OCC[N+](C)(C)C.[Cl-],6060.0,>27.2 [ug/mL] (The mean of the results at pH 7.4),"('27.2', 'ug/mL', '')",181.663,27.2,ug/mL,0.0272,CC(=O)OCC[N+](C)(C)C.[Cl-],0.74074069,1000.0165140275482,999.9893140275482
202,CC(C(C1=C(C=CC(=C1)OC)OC)O)N.Cl,6081.0,>37.2 [ug/mL] (The mean of the results at pH 7.4),"('37.2', 'ug/mL', '')",247.722,37.2,ug/mL,0.0372,COc1ccc(OC)c(C(O)C(C)N)c1.Cl,-0.126787572,185.00224800903362,184.9650480090336
203,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC.Cl,6084.0,"Soluble (>=10 mg/ml at 70 °F) (NTP, 1992)","('10', 'ml', '')",375.85200000000015,10.0,ml,10.0,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC.Cl,-2.939529652,0.4320034484580647,-9.567996551541935
204,CNCCC1=CNC2=CC=CC=C21,6088.0,>26.1 [ug/mL] (The mean of the results at pH 7.4),"('26.1', 'ug/mL', '')",174.247,26.1,ug/mL,0.0261,CNCCc1c[nH]c2ccccc12,-0.944500094,19.800001155791495,19.773901155791496
205,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],6099.0,"In water, 43,600 mg/L at 25 °C.","('43', 'mg/L', '')",319.861,43.0,mg/L,0.043,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],-0.865461237,43.6013617883612,43.5583617883612
206,CC[N+](C)(C)CC1=CC=CC=C1Br.CC1=CC=C(C=C1)S(=O)(=O)[O-],6100.0,>62.2 [ug/mL] (The mean of the results at pH 7.4),"('62.2', 'ug/mL', '')",414.3650000000001,62.2,ug/mL,0.0622,CC[N+](C)(C)Cc1ccccc1Br.Cc1ccc(S(=O)(=O)[O-])cc1,-4.44418946,0.014900251706520484,-0.047299748293479514
207,CC1=CC=C(C=C1)S(=O)(=O)O,6101.0,"ABOUT 67 G/100 ML WATER; SOL IN ALCOHOL, ETHER","('67', ' M', '')",172.20499999999998,67.0, M,11537.735,Cc1ccc(S(=O)(=O)O)cc1,0.556379271,620.0475961225544,-10917.687403877446
208,CCOS(=O)(=O)C,6113.0,"50 to 100 mg/mL at 81 °F (NTP, 1992)","('50', 'mg/mL', '')",124.161,50.0,mg/mL,50.0,CCOS(C)(=O)=O,0.2795871893333333,236.35913454574916,186.35913454574916
209,CC(C[N+](C)(C)C)OC(=O)C.[Cl-],6114.0,>29.4 [ug/mL] (The mean of the results at pH 7.4),"('29.4', 'ug/mL', '')",195.69,29.4,ug/mL,0.0294,CC(=O)OC(C)C[N+](C)(C)C.[Cl-],0.708438025,1000.0153312866432,999.9859312866432
210,CC(C)(C(=O)O)N,6119.0,181 mg/mL at 25 °C,"('181', 'mg/mL', '')",103.121,181.0,mg/mL,181.0,CC(C)(N)C(=O)O,0.2448178355,181.20281966359173,0.20281966359172543
211,CN(C)N=O,6124.0,"greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)","('100', 'mg/mL', '')",74.083,100.0,mg/mL,100.0,CN(C)N=O,1.130149513,999.6962749181594,899.6962749181594
212,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,6167.0,"greater than or equal to 100 mg/mL at 70 °F (NTP, 1992)","('100', 'mg/mL', '')",399.44300000000015,100.0,mg/mL,100.0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,-0.9461730505,45.214919744008036,-54.785080255991964
213,CN(C)C=O,6228.0,"greater than or equal to 100 mg/mL at 72 °F (NTP, 1992)","('100', 'mg/mL', '')",73.095,100.0,mg/mL,100.0,CN(C)C=O,1.1360413115,999.8364882362533,899.8364882362533
214,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl.Cl,6239.0,"10 to 50 mg/mL at 64 °F (NTP, 1992)","('10', 'mg/mL', '')",472.8880000000002,10.0,mg/mL,10.0,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12.Cl.Cl,-8.15755413,3.290062616340507e-06,-9.999996709937383
215,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl,6240.0,"greater than or equal to 100 mg/mL at 75 °F (NTP, 1992)","('100', 'mg/mL', '')",355.334,100.0,mg/mL,100.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl,-6.049561626,0.0003170115888249209,-99.99968298841118
216,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O.Cl,6252.0,>42 [ug/mL] (The mean of the results at pH 7.4),"('42', 'ug/mL', '')",279.68,42.0,ug/mL,0.042,Cl.Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,-0.201144085,176.00188774460386,175.95988774460386
218,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O,6256.0,>44.4 [ug/mL] (The mean of the results at pH 7.4),"('44.4', 'ug/mL', '')",296.201,44.4,ug/mL,0.0444,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F,-0.71,57.754592029293285,57.71019202929328
219,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])F,6264.0,"0.1 to 1.0 mg/mL at 67.5 °F (NTP, 1992)","('0.1', 'mg/mL', '')",186.098,0.1,mg/mL,0.1,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,-2.668843191,0.39893166977481515,0.2989316697748151
220,CN,6329.0,"greater than or equal to 100 mg/mL at 70 °F (NTP, 1992)","('100', 'mg/mL', '')",31.058,100.0,mg/mL,100.0,CN,1.541111152,1079.654098216921,979.654098216921
221,CC(F)F,6368.0,"In water, 3.2X10+3 mg/L at 25 °C","('3.2', 'mg/L', '')",66.05,3.2,mg/L,0.0032,CC(F)F,-1.314861422,3.198979079730616,3.195779079730616
222,C(F)(F)F,6373.0,"In water, 4.09X10+3 mg/L at 25 °C","('4.09', 'mg/L', '')",70.013,4.09,mg/L,0.0041,FC(F)F,-1.233218385,4.092232519348124,4.0881325193481235
223,C[N+](=O)[O-],6375.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",61.040000000000006,100.0,mg/mL,100.0,C[N+](=O)[O-],0.259927111,111.05589998662991,11.05589998662991
224,CC1CN1,6377.0,"greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)","('100', 'mg/mL', '')",57.096,100.0,mg/mL,100.0,CC1CN1,1.243381946,999.9715168498092,899.9715168498092
225,CC(C)(C)O,6386.0,"greater than or equal to 100 mg/mL at 70 °F (NTP, 1992)","('100', 'mg/mL', '')",74.12299999999999,100.0,mg/mL,100.0,CC(C)(C)O,1.1300322945,999.966113013228,899.966113013228
226,C(F)(Cl)(Cl)Cl,6389.0,"10 to 50 mg/mL at 64 °F (NTP, 1992)","('10', 'mg/mL', '')",137.368,10.0,mg/mL,10.0,FC(Cl)(Cl)Cl,-2.0962496065,1.1006163718180058,-8.899383628181994
227,C(F)(F)(F)F,6393.0,"In water, 18.8 mg/L at 25 °C","('18.8', 'mg/L', '')",88.00300000000001,18.8,mg/L,0.0188,FC(F)(F)F,-3.6703124115,0.01880117820662651,1.1782066265085545e-06
228,CC(C)(C#N)O,6406.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",85.106,100.0,mg/mL,100.0,CC(C)(O)C#N,1.0700097045,999.9306567447258,899.9306567447258
229,C(C(F)(F)F)(F)(F)F,6431.0,"In water, 7.78 mg/L at 25 °C","('7.78', 'mg/L', '')",138.01000000000002,7.78,mg/L,0.0078,FC(F)(F)C(F)(F)F,-4.2489154795,0.007780277304396644,-1.972269560335596e-05
230,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C.[Br-],6461.0,>63.1 [ug/mL] (The mean of the results at pH 7.4),"('63.1', 'ug/mL', '')",420.347,63.1,ug/mL,0.0631,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1.[Br-],-1.713036883,8.139000388689595,8.075900388689595
231,C=CS(=O)(=O)C=C,6496.0,"greater than or equal to 100 mg/mL at 63 °F (NTP, 1992)","('100', 'mg/mL', '')",118.15699999999998,100.0,mg/mL,100.0,C=CS(=O)(=O)C=C,0.274310329,222.21316480725423,122.21316480725423
232,C1C=CCS1(=O)=O,6498.0,"50 to 100 mg/mL at 61 °F (NTP, 1992)","('50', 'mg/mL', '')",118.15699999999998,50.0,mg/mL,50.0,O=S1(=O)CC=CC1,0.32079039,247.31465149017552,197.31465149017552
233,C(C(CO)(CO)N)O,6503.0,79.1 mg/mL in ethylene glycol; 26 mg/mL in methanol; 14.6 mg/mL in anhyd ethanol; 22 mg/mL in 95% ethanol; 14 mg/mL in dimethyl formamide; 20 mg/mL in acetone; 0.5 mg/mL in ethyl acetate; 0.4 mg/mL in olive oil; 0.1 mg/mL in cyclohexane; 0.05 mg/mL in chloroform; less than 0.05 mg/mL in carbon tetrachloride,"('79.1', 'mg/mL', '')",121.136,79.1,mg/mL,79.1,NC(CO)(CO)CO,0.6580548603333334,551.2239630795225,472.12396307952247
234,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,6506.0,"In water, 6.50X10+4 mg/L at room temp","('6.50', 'mg/L', '')",276.285,6.5,mg/L,0.0065,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,-0.6284652533333334,64.99681169517321,64.9903116951732
235,CCOP(=S)(OCC)SC1C(OCCO1)SP(=S)(OCC)OCC,6531.0,"less than 0.1 mg/mL at 68 °F (NTP, 1992)","('0.1', 'mg/mL', '')",456.5500000000002,0.1,mg/mL,0.1,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,-5.469129347,0.0015500974438979276,-0.09844990255610207
236,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,6532.0,10 mg/L @ 20 °C (exp),"('10', 'mg/L', '')",224.34399999999997,10.0,mg/L,0.01,C=CC(C)(CCC=C(C)C)OC(=O)C(C)C,-4.810581887,0.003470024746488562,-0.006529975253511438
237,CC(C)(C#N)N=NC(C)(C)C#N,6547.0,"SOL IN METHANOL @ 0, 20, 40 °C: 1.8, 4.96, 16.06 G/100 ML; SOL IN ETHANOL @ 0, 20, 40 °C: 0.58, 2.04, 7.15 G/100 ML","('20', ' M', '')",164.21200000000002,20.0, M,3284.24,CC(C)(C#N)N=NC(C)(C)C#N,-2.692272854,0.33352779827985995,-3283.90647220172
238,CC(C#N)O,6572.0,"greater than or equal to 100 mg/mL at 73 °F (NTP, 1992)","('100', 'mg/mL', '')",71.079,100.0,mg/mL,100.0,CC(O)C#N,1.148252581,999.9859316518103,899.9859316518103
239,CCC(Cl)Cl,6573.0,"In water, 2,700 mg/L at 20 °C","('700', 'mg/L', '')",112.987,700.0,mg/L,0.7,CCC(Cl)Cl,-1.6217,2.699780632636839,1.999780632636839
240,C=CC(=O)O,6581.0,"greater than or equal to 100 mg/mL at 63 °F (NTP, 1992)","('100', 'mg/mL', '')",72.06299999999999,100.0,mg/mL,100.0,C=CC(=O)O,1.142302871,1000.0350205066832,900.0350205066832
241,C(C(=O)O)(Cl)Cl,6597.0,"greater than or equal to 100 mg/mL at 59 °F (NTP, 1992)","('100', 'mg/mL', '')",128.942,100.0,mg/mL,100.0,O=C(O)C(Cl)Cl,0.8898061669999999,1000.4619343176531,900.4619343176531
242,CC1(C2CCC(C2)C1=C)C,6616.0,"In water, 4.6 mg/L at 25 °C","('4.6', 'mg/L', '')",136.238,4.6,mg/L,0.0046,C=C1C2CCC(C2)C1(C)C,-4.4707734015,0.004608131437750253,8.131437750253344e-06
243,CC(C)(C1=CC=CC=C1)OO,6629.0,"less than 0.1 mg/mL at 64 °F (NTP, 1992)","('0.1', 'mg/mL', '')",152.19299999999996,0.1,mg/mL,0.1,CC(C)(OO)c1ccccc1,-1.0393856585,13.899814978105292,13.799814978105292
244,C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl,6634.0,35 [ug/mL] (The mean of the results at pH 7.4),"('35', 'ug/mL', '')",284.728,35.0,ug/mL,0.035,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,-1.6093,7.000518014804076,6.965518014804076
245,C1=CC(=CC=C1OS(=O)(=O)C2=CC=C(C=C2)Cl)Cl,6635.0,PRACTICALLY INSOL IN WATER; SOL @ 25 °C IN G/100 ML: 1.4 G IN 95% ALCOHOL; 41.0 G IN CARBON TETRACHLORIDE; 110.0 G IN CYCLOHEXANONE; 110.0 G IN ETHYLENE DICHLORIDE; 2.0-2.7 G IN PETROLEUM OILS; 130.0 G IN ACETONE; 78 G IN XYLENE,"('25', ' M', '')",303.16599999999994,25.0, M,7579.15,O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,-5.010379328,0.0029600644399755695,-7579.147039935559
246,CC1=C(C(=O)CC1)O,6660.0,soluble in alcohol and propylene glycol; slightly soluble in most fixed oils and 1 g in 72 ml water,"('72', 'ml', '')",112.128,72.0,ml,72.0,CC1=C(O)C(=O)CC1,-0.621579282,26.799999986865814,-45.200000013134186
247,CC1=CNC2=CC=CC=C12,6736.0,6.8 [ug/mL] (The mean of the results at pH 7.4),"('6.8', 'ug/mL', '')",131.17799999999997,6.8,ug/mL,0.0068,Cc1c[nH]c2ccccc12,-2.4202127946666665,0.49848054204547787,0.4916805420454779
248,C1C[N+]2=CC=CC=C2C3=CC=CC=[N+]31,6795.0,"greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)","('100', 'mg/mL', '')",184.242,100.0,mg/mL,100.0,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,-3.425,0.06924503504091155,-99.93075496495909
249,C1=CC=C2C(=C1)C=CC=C2CC(=O)N,6861.0,0.039 mg/mL at 40 °C,"('0.039', 'mg/mL', '')",185.22599999999997,0.039,mg/mL,0.039,NC(=O)Cc1cccc2ccccc12,-3.6766,0.03900335340620383,3.3534062038320656e-06
250,COC1=C(C=C(C=C1Cl)Cl)Cl,6884.0,0.01 mg/mL at 20 °C,"('0.01', 'mg/mL', '')",211.475,0.01,mg/mL,0.01,COc1c(Cl)cc(Cl)cc1Cl,-4.2625,0.011554709563626508,0.001554709563626508
251,CC(=O)C1=CC=CS1,6920.0,14 mg/mL at 30 °C,"('14', 'mg/mL', '')",126.17999999999998,14.0,mg/mL,14.0,CC(=O)c1cccs1,-0.9548640335,13.999950159446641,-4.984055335910398e-05
252,C1=CC=C(C(=C1)N)S(=O)(=O)O,6926.0,"10 to 50 mg/mL at 72 °F (NTP, 1992)","('10', 'mg/mL', '')",173.19299999999998,10.0,mg/mL,10.0,Nc1ccccc1S(=O)(=O)O,-1.213216947,10.600183612238197,0.6001836122381974
253,C1=CC(=C(C=C1O)C(F)(F)F)[N+](=O)[O-],6931.0,"In water, 5000 mg/L at 25 °C","('5000', 'mg/L', '')",207.107,5000.0,mg/L,5.0,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,-1.6172,5.000285223649088,0.0002852236490875626
254,C1=CC=C(C(=C1)[N+](=O)[O-])Cl,6945.0,"less than 0.1 mg/mL at 67.8 °F (NTP, 1992)","('0.1', 'mg/mL', '')",157.55599999999998,0.1,mg/mL,0.1,O=[N+]([O-])c1ccccc1Cl,-2.63725184575,0.3632311625843263,0.26323116258432633
255,C1=CC(=C(C=C1Cl)[N+](=O)[O-])Cl,6977.0,"In water, 95 mg/L at 25 °C","('95', 'mg/L', '')",192.001,95.0,mg/L,0.095,O=[N+]([O-])c1cc(Cl)ccc1Cl,-3.339265527,0.0879099359529727,-0.007090064047027306
256,COC1=CC=CC=C1N,7000.0,"less than 0.1 mg/mL at 66 °F (NTP, 1992)","('0.1', 'mg/mL', '')",123.155,0.1,mg/mL,0.1,COc1ccccc1N,-0.9672208225,13.281013741798299,13.1810137417983
257,C1=CC=C(C=C1)C2=CC=CC=C2N,7015.0,"less than 0.1 mg/mL at 70 °F (NTP, 1992)","('0.1', 'mg/mL', '')",169.22699999999995,0.1,mg/mL,0.1,Nc1ccccc1-c1ccccc1,-2.861110142,0.23300192737062442,0.1330019273706244
258,CC(=C)C(=O)C(=CC(=O)O)OC,7025.0,"MODERATELY SOLUBLE IN COLD WATER (2 G/100 ML); FREELY SOLUBLE IN HOT WATER, ALCOHOL, ETHER, BENZENE, CHLOROFORM; SLIGHTLY SOLUBLE IN HOT PETROLEUM ETHER; PRACTICALLY INSOLUBLE IN PENTANE-HEXANE","('00', ' M', '')",170.164,0.0, M,0.0,C=C(C)C(=O)C(=CC(=O)O)OC,-0.9298635643333334,19.998808487428256,19.998808487428256
261,CCN(CC)C(C)C(=O)C1=CC=CC=C1,7029.0,"White or creamy white, small crystals or crystalline powder; characteristic, mildly aromatic odor; 1 g sol in: about 0.6 mL water, about 0.6 ml chloroform, 1 ml absolute methanol, 1 ml alcohol; practically insoluble in ether /Diethylpropion hydrochloride/","('0.6', 'ml', '')",205.301,0.6,ml,0.6,CCN(CC)C(C)C(=O)c1ccccc1,-2.287495084,1.059000050407127,0.4590000504071271
262,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,7031.0,"less than 0.1 mg/mL at 64 Â°F (NTP, 1992)","('0.1', 'mg/mL', '')",268.36,0.1,mg/mL,0.1,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,-2.828328896,0.3984638136319875,0.2984638136319875
263,COC1=C(C(=CC=C1)OC)O,7041.0,17.2 mg/mL at 13 °C,"('17.2', 'mg/mL', '')",154.16499999999996,17.2,mg/mL,17.2,COc1cccc(OC)c1O,-0.9522357125,17.208779692020798,0.008779692020798535
264,CC(=O)C1=CC2=CC=CC=C2C=C1,7122.0,0.272 mg/mL at 25 Â°C,"('0.272', 'mg/mL', '')",170.21099999999998,0.272,mg/mL,0.272,CC(=O)c1ccc2ccccc2c1,-2.7964080840000003,0.27200666093663695,6.660936636926351e-06
265,COC(=O)C1CCC(CC1)C(=O)OC,7198.0,"In water, 12,000 mg/L at 25 °C","('12', 'mg/L', '')",200.234,12.0,mg/L,0.012,COC(=O)C1CCC(C(=O)OC)CC1,-1.387207679,8.209754004293233,8.197754004293232
266,C(C(CBr)Br)O,7281.0,"50 to 100 mg/mL at 68 °F (NTP, 1992)","('50', 'mg/mL', '')",217.888,50.0,mg/mL,50.0,OCC(Br)CBr,-0.6222169774999999,52.00155553669634,2.001555536696337
267,C(C(CCl)O)O,7290.0,"greater than or equal to 100 mg/mL at 70 °F (NTP, 1992)","('100', 'mg/mL', '')",110.53999999999998,100.0,mg/mL,100.0,OCC(O)CCl,0.956497442,1000.038919616465,900.038919616465
268,CCC(=NO)C,7292.0,"greater than or equal to 100 mg/mL at 72 °F (NTP, 1992)","('100', 'mg/mL', '')",87.12199999999999,100.0,mg/mL,100.0,CCC(C)=NO,0.0598910665,100.00435270879392,0.004352708793916804
271,CNC(=O)NC,7293.0,"greater than or equal to 100 mg/mL at 70 °F (NTP, 1992)","('100', 'mg/mL', '')",88.11,100.0,mg/mL,100.0,CNC(=O)NC,0.938636234,765.0000001564986,665.0000001564986
272,COC(=O)CCl,7295.0,"In water, 4.6X10+4 mg/L at 20 °C","('4.6', 'mg/L', '')",108.52400000000002,4.6,mg/L,0.0046,COC(=O)CCl,-0.3727959855,45.997031773134324,45.99243177313432
273,CC(C(C)(C)C)OP(=O)(C)F,7305.0,"In water, 2.1X10+4 mg/L at 20 °C","('2.1', 'mg/L', '')",182.17499999999995,2.1,mg/L,0.0021,CC(OP(C)(=O)F)C(C)(C)C,-0.9381836286666668,21.004151857826542,21.002051857826544
274,CC1=CC(=C(C=C1SC2=CC(=C(C=C2C)O)C(C)(C)C)C(C)(C)C)O,7308.0,"less than 0.1 mg/mL at 64 °F (NTP, 1992)","('0.1', 'mg/mL', '')",358.54700000000014,0.1,mg/mL,0.1,Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,-7.11205518,2.7700710791440516e-05,-0.09997229928920856
275,CC(C)(C)C1=CC(=C(C=C1)O)C(C)(C)C,7311.0,"In water, 35 mg/L at 25 °C","('35', 'mg/L', '')",206.329,35.0,mg/L,0.035,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,-3.770497167,0.03499960204395636,-3.979560436462304e-07
276,COC1=C(C=C(C=C1)C(=O)NC2=CC=CC=C2)[N+](=O)[O-],7331.0,"less than 0.1 mg/mL at 59 °F (NTP, 1992)","('0.1', 'mg/mL', '')",272.26000000000005,0.1,mg/mL,0.1,COc1ccc(C(=O)Nc2ccccc2)cc1[N+](=O)[O-],-4.98782549,0.0028000020556363933,-0.09719999794436361
277,CC1=CC=CC=C1NC(=NC2=CC=CC=C2C)N,7333.0,>35.9 [ug/mL] (The mean of the results at pH 7.4),"('35.9', 'ug/mL', '')",239.322,35.9,ug/mL,0.0359,Cc1ccccc1N=C(N)Nc1ccccc1C,-3.533879865,0.07000076054366042,0.034100760543660416
278,CCOC(=O)C(=C)C,7343.0,"5 to 10 mg/mL at 68 °F (NTP, 1992)","('10', 'mg/mL', '')",114.144,10.0,mg/mL,10.0,C=C(C)C(=O)OCC,-1.3454541336666666,5.152274036430226,-4.847725963569774
279,CC(C)COC(=O)C(C)C,7351.0,0.5 G PER 100 ML WATER,"('0.5', ' M', '')",144.21399999999997,0.5, M,72.107,CC(C)COC(=O)C(C)C,-2.1590127455,0.9999877442194699,-71.10701225578053
280,CCC(CC)C=O,7359.0,"miscible with alcohol, ether; soluble in water 1 ml in 50 ml","('50', 'ml', '')",100.161,50.0,ml,50.0,CCC(C=O)CC,-1.52,3.0248138426718634,-46.97518615732814
281,C1=COC(=C1)CO,7361.0,"greater than or equal to 100 mg/mL at 73 °F (NTP, 1992)","('100', 'mg/mL', '')",98.10099999999998,100.0,mg/mL,100.0,OCc1ccco1,1.0081654965,999.6291934947161,899.6291934947161
282,C1CC(=O)N[C@@H]1C(=O)O,7405.0,>19.4 [ug/mL] (The mean of the results at pH 7.4),"('19.4', 'ug/mL', '')",129.11499999999998,19.4,ug/mL,0.0194,O=C1CCC(C(=O)O)N1,0.5668067175,476.1934496167022,476.1740496167022
283,C1=CC(=CC(=C1)N)C(=O)O,7419.0,>20.6 [ug/mL] (The mean of the results at pH 7.4),"('20.6', 'ug/mL', '')",137.138,20.6,ug/mL,0.0206,Nc1cccc(C(=O)O)c1,-1.3661560665,5.902034515974813,5.881434515974813
284,C1=CC(=CC(=C1)O)C(=O)O,7420.0,7.25 mg/mL at 25 °C,"('7.25', 'mg/mL', '')",138.122,7.25,mg/mL,7.25,O=C(O)c1cccc(O)c1,-1.266614461,7.475640312250551,0.22564031225055103
